Year(s) of Live Birth,Patient County,Demographic Characteristics,Sort Order,Demographic Strata,"Live Births
(N)","Live Births
(%)",Any Sepsis Events Peripartum (N),"Any Sepsis Events Peripartum (per 100,000)",Severe Sepsis/Septic Shock Peripartum (N),"Severe Sepsis/Septic Shock Peripartum(per 100,000)",Any Sepsis Events During Pregnancy (N),"Any Sepsis Events During Pregnancy (per 100,000)",Severe Sepsis/ Septic Shock During Pregnancy (N),"Severe Sepsis/ Septic Shock During Pregnancy
(per 100,000)",Any Sepsis Events During Delivery (N),"Any Sepsis Events During Delivery (per 100,000)",Severe Sepsis/ Septic Shock During Delivery (N),"Severe Sepsis/ Septic Shock During Delivery
(per 100,000)",Any Sepsis Events During Post-Partum (N),"Any Sepsis Events During Post-Partum (per 100,000)",Severe Sepsis/ Septic Shock During Post-Partum (N),"Severe Sepsis/ Septic Shock During Post-Partum
(per 100,000)"
2016-2018,Ulster,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ulster,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",90,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ulster,Race/Ethnicity,6,"Other, Non-Hispanic",37,0.91,2,5405.41,0,0,2,5405.41,0,0,0,0,0,0,0,0,0,0
2016-2018,Ulster,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",34,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Ulster,Total,1,Total,"4,054",100,8,197.34,2,49.33,4,98.67,0,0,0,0,0,0,4,98.67,2,49.33
2016-2018,Warren,Age Group,1,<20,117,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Warren,Age Group,2,20-35,"1,290",81.44,1,77.52,1,77.52,0,0,0,0,1,77.52,1,77.52,0,0,0,0
2016-2018,Warren,Age Group,3,>35,177,11.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Warren,Education,1,Less than high school,123,7.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Warren,Education,2,High school graduate or GED,440,27.78,1,227.27,1,227.27,0,0,0,0,1,227.27,1,227.27,0,0,0,0
2016-2018,Warren,Education,3,Some College,348,21.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Warren,Education,4,AA Degree,159,10.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Warren,Education,5,BA degree or higher,498,31.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Warren,Education,6,Unknown,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Warren,Race/Ethnicity,1,"White, Non-Hispanic","1,487",93.88,1,67.25,1,67.25,0,0,0,0,1,67.25,1,67.25,0,0,0,0
2016-2018,Warren,Race/Ethnicity,2,"Black, Non-Hispanic",22,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Warren,Race/Ethnicity,3,Hispanic,31,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Warren,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Warren,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",25,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Warren,Race/Ethnicity,6,"Other, Non-Hispanic",18,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Warren,Total,1,Total,"1,584",100,1,63.13,1,63.13,0,0,0,0,1,63.13,1,63.13,0,0,0,0
2016-2018,Washington,Age Group,1,<20,137,9.4,2,1459.85,0,0,1,729.93,0,0,1,729.93,0,0,0,0,0,0
2016-2018,Washington,Age Group,2,20-35,"1,194",81.89,3,251.26,0,0,1,83.75,0,0,1,83.75,0,0,1,83.75,0,0
2016-2018,Washington,Age Group,3,>35,127,8.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Washington,Education,1,Less than high school,157,10.77,2,1273.89,0,0,1,636.94,0,0,1,636.94,0,0,0,0,0,0
2016-2018,Washington,Education,2,High school graduate or GED,519,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Washington,Education,3,Some College,321,22.02,2,623.05,0,0,1,311.53,0,0,0,0,0,0,1,311.53,0,0
2016-2018,Washington,Education,4,AA Degree,139,9.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Washington,Education,5,BA degree or higher,298,20.44,1,335.57,0,0,0,0,0,0,1,335.57,0,0,0,0,0,0
2016-2018,Washington,Education,6,Unknown,7,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Washington,Race/Ethnicity,1,"White, Non-Hispanic","1,407",96.5,5,355.37,0,0,2,142.15,0,0,2,142.15,0,0,1,71.07,0,0
2016-2018,Washington,Race/Ethnicity,2,"Black, Non-Hispanic",9,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Washington,Race/Ethnicity,3,Hispanic,30,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Washington,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",7,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Washington,Race/Ethnicity,6,"Other, Non-Hispanic",5,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Washington,Total,1,Total,"1,458",100,5,342.94,0,0,2,137.17,0,0,2,137.17,0,0,1,68.59,0,0
2016-2018,Wayne,Age Group,1,<20,207,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wayne,Age Group,2,20-35,"2,233",83.63,4,179.13,1,44.78,0,0,0,0,0,0,0,0,4,179.13,1,44.78
2016-2018,Wayne,Age Group,3,>35,230,8.61,1,434.78,0,0,1,434.78,0,0,0,0,0,0,0,0,0,0
2016-2018,Wayne,Education,1,Less than high school,280,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wayne,Education,2,High school graduate or GED,815,30.52,2,245.4,1,122.7,0,0,0,0,0,0,0,0,2,245.4,1,122.7
2016-2018,Wayne,Education,3,Some College,504,18.88,2,396.83,0,0,0,0,0,0,0,0,0,0,2,396.83,0,0
2016-2018,Wayne,Education,4,AA Degree,327,12.25,1,305.81,0,0,1,305.81,0,0,0,0,0,0,0,0,0,0
2016-2018,Wayne,Education,5,BA degree or higher,681,25.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wayne,Education,6,Unknown,10,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wayne,Race/Ethnicity,1,"White, Non-Hispanic","2,354",88.16,5,212.4,1,42.48,1,42.48,0,0,0,0,0,0,4,169.92,1,42.48
2016-2018,Wayne,Race/Ethnicity,2,"Black, Non-Hispanic",93,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wayne,Race/Ethnicity,3,Hispanic,134,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wayne,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wayne,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",25,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wayne,Race/Ethnicity,6,"Other, Non-Hispanic",11,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wayne,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",51,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wayne,Total,1,Total,"2,670",100,5,187.27,1,37.45,1,37.45,0,0,0,0,0,0,4,149.81,1,37.45
2016-2018,Westchester,Age Group,1,<20,"1,078",4.33,5,463.82,1,92.76,3,278.29,1,92.76,1,92.76,0,0,1,92.76,0,0
2016-2018,Westchester,Age Group,2,20-35,"17,673",70.96,68,384.77,8,45.27,15,84.88,2,11.32,24,135.8,4,22.63,29,164.09,2,11.32
2016-2018,Westchester,Age Group,3,>35,"6,153",24.71,21,341.3,5,81.26,3,48.76,1,16.25,8,130.02,3,48.76,10,162.52,1,16.25
2016-2018,Westchester,Education,1,Less than high school,"3,701",14.86,14,378.28,2,54.04,6,162.12,1,27.02,3,81.06,0,0,5,135.1,1,27.02
2016-2018,Westchester,Education,2,High school graduate or GED,"4,024",16.16,23,571.57,3,74.55,3,74.55,0,0,7,173.96,2,49.7,13,323.06,1,24.85
2016-2018,Westchester,Education,3,Some College,"3,315",13.31,12,361.99,0,0,2,60.33,0,0,6,181,0,0,4,120.66,0,0
2016-2018,Westchester,Education,4,AA Degree,"1,388",5.57,12,864.55,4,288.18,4,288.18,2,144.09,5,360.23,2,144.09,3,216.14,0,0
2016-2018,Westchester,Education,5,BA degree or higher,"11,545",46.36,29,251.19,3,25.99,5,43.31,0,0,9,77.96,2,17.32,15,129.93,1,8.66
2016-2018,Westchester,Education,6,Unknown,59,0.24,1,1694.92,1,1694.92,0,0,0,0,1,1694.92,1,1694.92,0,0,0,0
2016-2018,Westchester,Race/Ethnicity,1,"White, Non-Hispanic","9,743",39.12,25,256.59,4,41.06,8,82.11,1,10.26,7,71.85,3,30.79,10,102.64,0,0
2016-2018,Westchester,Race/Ethnicity,2,"Black, Non-Hispanic","4,004",16.08,20,499.5,3,74.93,2,49.95,0,0,9,224.78,2,49.95,9,224.78,1,24.98
2016-2018,Westchester,Race/Ethnicity,3,Hispanic,"8,766",35.2,40,456.31,6,68.45,11,125.48,3,34.22,14,159.71,1,11.41,15,171.12,2,22.82
2016-2018,Westchester,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",96,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Westchester,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic","1,725",6.93,5,289.86,0,0,0,0,0,0,1,57.97,0,0,4,231.88,0,0
2016-2018,Westchester,Race/Ethnicity,6,"Other, Non-Hispanic",470,1.89,4,851.06,1,212.77,0,0,0,0,2,425.53,1,212.77,2,425.53,0,0
2016-2018,Westchester,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",100,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Westchester,Total,1,Total,"24,904",100,94,377.45,14,56.22,21,84.32,4,16.06,33,132.51,7,28.11,40,160.62,3,12.05
2016-2018,Wyoming,Age Group,1,<20,70,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wyoming,Age Group,2,20-35,878,85.41,1,113.9,1,113.9,0,0,0,0,1,113.9,0,0,1,113.9,1,113.9
2016-2018,Wyoming,Age Group,3,>35,80,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wyoming,Education,1,Less than high school,66,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wyoming,Education,2,High school graduate or GED,290,28.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wyoming,Education,3,Some College,193,18.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wyoming,Education,4,AA Degree,170,16.54,1,588.24,1,588.24,0,0,0,0,1,588.24,0,0,1,588.24,1,588.24
2016-2018,Wyoming,Education,5,BA degree or higher,263,25.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wyoming,Education,6,Unknown,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wyoming,Race/Ethnicity,1,"White, Non-Hispanic",996,96.89,1,100.4,1,100.4,0,0,0,0,1,100.4,0,0,1,100.4,1,100.4
2016-2018,Wyoming,Race/Ethnicity,2,"Black, Non-Hispanic",3,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wyoming,Race/Ethnicity,3,Hispanic,21,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wyoming,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",6,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wyoming,Race/Ethnicity,6,"Other, Non-Hispanic",1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wyoming,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Wyoming,Total,1,Total,"1,028",100,1,97.28,1,97.28,0,0,0,0,1,97.28,0,0,1,97.28,1,97.28
2016-2018,Yates,Age Group,1,<20,59,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Yates,Age Group,2,20-35,459,80.95,1,217.86,0,0,0,0,0,0,1,217.86,0,0,0,0,0,0
2016-2018,Yates,Age Group,3,>35,49,8.64,1,2040.82,0,0,1,2040.82,0,0,0,0,0,0,0,0,0,0
2016-2018,Yates,Education,1,Less than high school,112,19.75,1,892.86,0,0,0,0,0,0,1,892.86,0,0,0,0,0,0
2016-2018,Yates,Education,2,High school graduate or GED,167,29.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Yates,Education,3,Some College,108,19.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Yates,Education,4,AA Degree,57,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Yates,Education,5,BA degree or higher,121,21.34,1,826.45,0,0,1,826.45,0,0,0,0,0,0,0,0,0,0
2016-2018,Yates,Race/Ethnicity,1,"White, Non-Hispanic",545,96.12,2,366.97,0,0,1,183.49,0,0,1,183.49,0,0,0,0,0,0
2016-2018,Yates,Race/Ethnicity,2,"Black, Non-Hispanic",6,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Yates,Race/Ethnicity,3,Hispanic,10,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Yates,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",5,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Yates,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",1,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Yates,Total,1,Total,567,100,2,352.73,0,0,1,176.37,0,0,1,176.37,0,0,0,0,0,0
